FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
quadra.fid-26cf0271_1572a199e54_49d,77743,Quadras Esportivas nas Escolas - Arapiraca - AL - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AL,ARAPIRACA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-36.661 -9.752)),0
quadra.fid-26cf0271_1572a199e54_49e,77744,Quadras Esportivas nas Escolas - Apucarana - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,APUCARANA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-51.461 -23.551)),0
quadra.fid-26cf0271_1572a199e54_49f,77745,Quadras Esportivas nas Escolas - Araucária - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,ARAUCÁRIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.41 -25.593)),0
quadra.fid-26cf0271_1572a199e54_4a0,77746,Quadras Esportivas nas Escolas - Cianorte - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CIANORTE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-52.605 -23.663)),0
quadra.fid-26cf0271_1572a199e54_4a1,77747,Quadras Esportivas nas Escolas - Cornélio Procópio - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CORNÉLIO PROCÓPIO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-50.647 -23.181)),0
quadra.fid-26cf0271_1572a199e54_4a2,77748,Quadras Esportivas nas Escolas - Nova Laranjeiras - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,NOVA LARANJEIRAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-52.541 -25.307)),0
quadra.fid-26cf0271_1572a199e54_4a3,77749,Quadras Esportivas nas Escolas - Castro - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CASTRO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-50.012 -24.791)),0
quadra.fid-26cf0271_1572a199e54_4a4,77750,Quadras Esportivas nas Escolas - Wenceslau Braz - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,WENCESLAU BRAZ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.803 -23.874)),0
quadra.fid-26cf0271_1572a199e54_4a5,77751,Quadras Esportivas nas Escolas - Cambé - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CAMBÉ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-51.278 -23.276)),0
quadra.fid-26cf0271_1572a199e54_4a6,77752,Quadras Esportivas nas Escolas - Marabá - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,MARABÁ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.118 -5.369)),0
quadra.fid-26cf0271_1572a199e54_4a7,77753,Quadras Esportivas nas Escolas - Moju - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,MOJU,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.769 -1.884)),0
quadra.fid-26cf0271_1572a199e54_4a8,77754,Quadras Esportivas nas Escolas - Uberlândia - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,UBERLÂNDIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-48.277 -18.919)),0
quadra.fid-26cf0271_1572a199e54_4a9,77755,Quadras Esportivas nas Escolas - Franco da Rocha - SP - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SP,FRANCO DA ROCHA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-46.727 -23.322)),0
quadra.fid-26cf0271_1572a199e54_4aa,77756,Quadras Esportivas nas Escolas - Capão do Leão - RS - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,RS,CAPÃO DO LEÃO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-52.484 -31.763)),0
quadra.fid-26cf0271_1572a199e54_4ab,77757,Quadras Esportivas nas Escolas - Manaus - AM - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-60.025 -3.102)),0
quadra.fid-26cf0271_1572a199e54_4ac,77760,Quadras Esportivas nas Escolas - Itatuba - PB - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,ITATUBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.628 -7.375)),0
quadra.fid-26cf0271_1572a199e54_4ad,77761,Quadras Esportivas nas Escolas - Cerejeiras - RO - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,RO,CEREJEIRAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-60.812 -13.189)),0
quadra.fid-26cf0271_1572a199e54_4ae,77762,Quadras Esportivas nas Escolas - Valença - BA - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,BA,VALENÇA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-39.073 -13.37)),0
quadra.fid-26cf0271_1572a199e54_4af,77764,Quadras Esportivas nas Escolas - Santa Maria do Suaçuí - MG - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,SANTA MARIA DO SUAÇUÍ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-42.414 -18.19)),0
quadra.fid-26cf0271_1572a199e54_4b0,77765,Quadras Esportivas nas Escolas - Pedro Osório - RS - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,RS,PEDRO OSÓRIO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-52.823 -31.864)),0
quadra.fid-26cf0271_1572a199e54_4b1,77766,Quadras Esportivas nas Escolas - Santo Antônio da Patrulha - RS - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,RS,SANTO ANTÔNIO DA PATRULHA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-50.52 -29.818)),0
quadra.fid-26cf0271_1572a199e54_4b2,77767,Quadras Esportivas nas Escolas - Conceição do Araguaia - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,CONCEIÇÃO DO ARAGUAIA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.265 -8.258)),0
quadra.fid-26cf0271_1572a199e54_4b3,77768,Quadras Esportivas nas Escolas - Santa Bárbara do Pará - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,SANTA BÁRBARA DO PARÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-48.294 -1.224)),0
quadra.fid-26cf0271_1572a199e54_4b4,77769,Quadras Esportivas nas Escolas - Apuiarés - CE - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,CE,APUIARÉS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-39.432 -3.949)),0
quadra.fid-26cf0271_1572a199e54_4b5,77770,Quadras Esportivas nas Escolas - Caparaó - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CAPARAÓ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-41.907 -20.521)),0
quadra.fid-26cf0271_1572a199e54_4b6,77771,Quadras Esportivas nas Escolas - Congonhas - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CONGONHAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-43.858 -20.5)),0
quadra.fid-26cf0271_1572a199e54_4b7,77772,Quadras Esportivas nas Escolas - Congonhas - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CONGONHAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-43.858 -20.5)),0
quadra.fid-26cf0271_1572a199e54_4b8,77773,Quadras Esportivas nas Escolas - Cristália - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CRISTÁLIA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-42.862 -16.8)),0
quadra.fid-26cf0271_1572a199e54_4b9,77774,Quadras Esportivas nas Escolas - Formiga - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,FORMIGA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-45.426 -20.464)),0
quadra.fid-26cf0271_1572a199e54_4ba,77775,Quadras Esportivas nas Escolas - Paulistas - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,PAULISTAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-42.868 -18.427)),0
quadra.fid-26cf0271_1572a199e54_4bb,77776,Quadras Esportivas nas Escolas - Santana de Pirapama - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,SANTANA DE PIRAPAMA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2015,MULTIPOINT ((-44.043 -19.006)),0
quadra.fid-26cf0271_1572a199e54_4bc,77777,Quadras Esportivas nas Escolas - Tejupá - SP - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SP,TEJUPÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.376 -23.343)),0
quadra.fid-26cf0271_1572a199e54_4bd,77778,Quadras Esportivas nas Escolas - Rio do Campo - SC - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SC,RIO DO CAMPO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-50.141 -26.949)),0
quadra.fid-26cf0271_1572a199e54_4be,77779,Quadras Esportivas nas Escolas - São João Batista - SC - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SC,SÃO JOÃO BATISTA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.849 -27.276)),0
quadra.fid-26cf0271_1572a199e54_4bf,77780,Quadras Esportivas nas Escolas - São João da Paraúna - GO - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,GO,SÃO JOÃO DA PARAÚNA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-50.41 -16.815)),0
